NOM_INTER|SIGNALI|LONGITUDE|LATITUDE
41e Est, Rue    /   6e Est, Avenue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.240263|46.845107
Promenade, Rue de la    /      --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.284448|46.752698
Sillery, Côte de    /   Foulon, Chemin du    --   Québec|Non déterminé|-71.248849|46.772182
Notre-Dame, Avenue    /      --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.464889|46.792050
Pise, Rue de    /   Thérèse-Ménard, Rue    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.246912|46.859121
Champlain, Boulevard ( Côté Sud )   /   Foulon, Chemin du    --   Québec|Signaux lum. Ministère du transport|-71.258372|46.766364
Valmont, Rue de    /   Montebello, Rue de    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.279413|46.759290
Jean-Talon Est, Boulevard ( Côté Nord )   /   Loiret, Boulevard du    --   Québec|Signaux lumineux|-71.262567|46.877855
Carougeois, Rue des    /      --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.369107|46.744889
Valcourt, Rue de    /   Mon-Repos, Rue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.279846|46.761822
Champlain, Boulevard ( Côté Nord )   /   Verger, Côte du    --   Québec|Signaux lum. Ministère du transport|-71.264552|46.761999
Saint-Léandre, Rue    /   Saint-André, Rue    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue est-ouest|-71.343151|46.800590
Saint-Gérard, Rue    /   Saint-Léandre, Rue    --   L'Ancienne-Lorette|Non déterminé|-71.343839|46.801085
Saint-Eugène, Rue    /   Saint-Léandre, Rue    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue sud-nord|-71.342445|46.800103
Saint-Eugène, Rue    /   Saint-Henri, Rue    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue sud-nord|-71.340775|46.801192
Saint-Paul, Rue    /   Michelet, Rue    /   Papillon, Rue    /   Saint-Olivier, Rue    --   L'Ancienne-Lorette|Arrêts obligatoires sur toutes les approches|-71.341683|46.803450
Saint-Paul, Rue    /   Alexis-le-Trotteur, Rue    --   L'Ancienne-Lorette|Arrêts obligatoires sur toutes les approches|-71.344027|46.801919
Saint-Paul, Rue    /   Saint-Gérard, Rue    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue sud-nord|-71.345739|46.801044
Saint-Paul, Rue    /   Des Groseilliers, Rue    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue sud-nord|-71.347462|46.800033
